,simulation_name,method_name,step_size,tolerance,total_iteration,simulation_time,computation_time
162,cnn_hole_fill_2,rkcom_system_method,0.5,0.0001,19,6.905946788848659,2.735996723175049
163,cnn_hole_fill_2,rkcom_system_method,0.75,0.0001,18,7.020464151204491,2.532844066619873
164,cnn_hole_fill_2,rkcom_system_method,1.0,0.0001,18,7.158133211504028,2.494163990020752
165,cnn_hole_fill_2,rkcom_system_method,1.25,0.0001,19,6.90190178193393,2.6709134578704834
166,cnn_hole_fill_2,rkcom_system_method,1.5,0.0001,19,7.073223736949725,2.538828134536743
167,cnn_hole_fill_2,rkcom_system_method,1.75,0.0001,19,7.038885882429476,2.9057066440582275
168,cnn_hole_fill_2,rkcom_system_method,2.0,0.0001,19,6.875538114569732,2.9736762046813965
169,cnn_hole_fill_2,rkcom_system_method,2.25,0.0001,18,7.045894884249703,2.528709888458252
170,cnn_hole_fill_2,rkcom_system_method,0.1,5e-05,21,7.194296269823166,2.788917303085327
171,cnn_hole_fill_2,rkcom_system_method,0.25,5e-05,21,7.173012053610758,3.065924406051636
172,cnn_hole_fill_2,rkcom_system_method,0.5,5e-05,21,6.935177177440489,3.3490302562713623
173,cnn_hole_fill_2,rkcom_system_method,0.75,5e-05,20,6.658954995484587,2.893289804458618
174,cnn_hole_fill_2,rkcom_system_method,1.0,5e-05,21,6.493349859044393,3.5098588466644287
175,cnn_hole_fill_2,rkcom_system_method,1.25,5e-05,21,6.552911987783057,3.137627601623535
176,cnn_hole_fill_2,rkcom_system_method,1.5,5e-05,21,6.680348459330972,3.22094464302063
177,cnn_hole_fill_2,rkcom_system_method,1.75,5e-05,21,6.957941137295157,3.136518239974976
178,cnn_hole_fill_2,rkcom_system_method,2.0,5e-05,21,6.76904461720803,3.388456106185913
179,cnn_hole_fill_2,rkcom_system_method,2.25,5e-05,21,6.688289931140833,3.128885507583618
180,cnn_hole_fill_2,rk55_system_method,0.1,0.5,7,6.203453771753239,2.0039258003234863
181,cnn_hole_fill_2,rk55_system_method,0.25,0.5,6,6.586242726192017,1.1083652973175049
182,cnn_hole_fill_2,rk55_system_method,0.5,0.5,13,30.0,2.983945608139038
183,cnn_hole_fill_2,rk55_system_method,0.75,0.5,13,30.0,2.8723578453063965
184,cnn_hole_fill_2,rk55_system_method,1.0,0.5,5,7.139229766028457,0.7092335224151611
185,cnn_hole_fill_2,rk55_system_method,1.25,0.5,5,6.795010907697584,0.7620327472686768
186,cnn_hole_fill_2,rk55_system_method,1.5,0.5,5,6.081149891791904,0.9861655235290528
187,cnn_hole_fill_2,rk55_system_method,1.75,0.5,12,30.0,2.7437355518341064
188,cnn_hole_fill_2,rk55_system_method,2.0,0.5,5,5.953081306729226,1.275881052017212
189,cnn_hole_fill_2,rk55_system_method,2.25,0.5,5,7.145933639622747,1.188317060470581
190,cnn_hole_fill_2,rk55_system_method,0.1,0.1,7,6.749405433188153,1.2892374992370603
191,cnn_hole_fill_2,rk55_system_method,0.25,0.1,7,7.041175902836492,1.4560117721557615
192,cnn_hole_fill_2,rk55_system_method,0.5,0.1,7,8.174864740036577,1.3030674457550049
193,cnn_hole_fill_2,rk55_system_method,0.75,0.1,6,6.506949499959129,1.1649441719055176
194,cnn_hole_fill_2,rk55_system_method,1.0,0.1,6,6.704043004121392,1.5107903480529783
195,cnn_hole_fill_2,rk55_system_method,1.25,0.1,5,5.593169089556464,0.9656786918640136
196,cnn_hole_fill_2,rk55_system_method,1.5,0.1,7,7.632537899803225,1.8885612487792969
197,cnn_hole_fill_2,rk55_system_method,1.75,0.1,6,6.778122022454626,1.3002500534057615
198,cnn_hole_fill_2,rk55_system_method,2.0,0.1,6,6.545587472154159,1.4897346496582031
199,cnn_hole_fill_2,rk55_system_method,2.25,0.1,6,7.856429593017806,1.1195173263549805
200,cnn_hole_fill_2,rk55_system_method,0.1,0.05,9,7.502197631758529,2.216795921325684
201,cnn_hole_fill_2,rk55_system_method,0.25,0.05,7,6.233989583577902,1.6058807373046875
202,cnn_hole_fill_2,rk55_system_method,0.5,0.05,7,6.678892298032469,1.0920085906982422
203,cnn_hole_fill_2,rk55_system_method,0.75,0.05,7,7.694483345895743,1.2421469688415527
204,cnn_hole_fill_2,rk55_system_method,1.0,0.05,6,5.903421085936005,1.287562370300293
205,cnn_hole_fill_2,rk55_system_method,1.25,0.05,6,6.376467332189771,1.252920150756836
206,cnn_hole_fill_2,rk55_system_method,1.5,0.05,7,6.813319341866016,1.4757044315338137
207,cnn_hole_fill_2,rk55_system_method,1.75,0.05,8,8.24842001992906,2.60787320137024
208,cnn_hole_fill_2,rk55_system_method,2.0,0.05,7,7.037498930576261,2.001670360565185
209,cnn_hole_fill_2,rk55_system_method,2.25,0.05,7,7.251381024794301,1.6851232051849363
210,cnn_hole_fill_2,rk55_system_method,0.1,0.01,10,6.913121791186679,2.061368465423584
211,cnn_hole_fill_2,rk55_system_method,0.25,0.01,10,7.3820854101090205,2.4925687313079834
212,cnn_hole_fill_2,rk55_system_method,0.5,0.01,9,7.229436277367511,2.0262837409973145
213,cnn_hole_fill_2,rk55_system_method,0.75,0.01,10,8.571274563113034,2.647932767868042
214,cnn_hole_fill_2,rk55_system_method,1.0,0.01,8,6.68292393091568,1.7634150981903076
215,cnn_hole_fill_2,rk55_system_method,1.25,0.01,9,7.154714386391641,2.5731894969940186
216,cnn_hole_fill_2,rk55_system_method,1.5,0.01,9,6.881205772728311,1.955730676651001
217,cnn_hole_fill_2,rk55_system_method,1.75,0.01,9,7.194897191498907,1.9988884925842283
218,cnn_hole_fill_2,rk55_system_method,2.0,0.01,8,6.548427731065195,1.6866166591644287
219,cnn_hole_fill_2,rk55_system_method,2.25,0.01,9,7.509762476969235,2.2008056640625
220,cnn_hole_fill_2,rk55_system_method,0.1,0.005,11,8.297794748801257,2.7664148807525635
221,cnn_hole_fill_2,rk55_system_method,0.25,0.005,10,6.487562491360967,2.5237886905670166
222,cnn_hole_fill_2,rk55_system_method,0.5,0.005,10,7.598238476249354,2.3345518112182617
223,cnn_hole_fill_2,rk55_system_method,0.75,0.005,12,7.687538337649792,3.718487024307251
224,cnn_hole_fill_2,rk55_system_method,1.0,0.005,10,7.689101932383716,2.5797102451324463
225,cnn_hole_fill_2,rk55_system_method,1.25,0.005,9,6.463728735775688,2.020092725753784
226,cnn_hole_fill_2,rk55_system_method,1.5,0.005,12,7.82514049791653,3.5168471336364746
227,cnn_hole_fill_2,rk55_system_method,1.75,0.005,10,7.496743079854581,2.2581255435943604
228,cnn_hole_fill_2,rk55_system_method,2.0,0.005,10,7.1123340052093935,2.3896143436431885
229,cnn_hole_fill_2,rk55_system_method,2.25,0.005,10,7.753570682702158,2.6825530529022217
230,cnn_hole_fill_2,rk55_system_method,0.1,0.001,14,6.496545286655596,3.386069774627685
231,cnn_hole_fill_2,rk55_system_method,0.25,0.001,13,6.565754351729105,2.98708438873291
232,cnn_hole_fill_2,rk55_system_method,0.5,0.001,12,6.807642323805009,2.95935606956482
233,cnn_hole_fill_2,rk55_system_method,0.75,0.001,13,6.768220239070968,3.335149049758911
234,cnn_hole_fill_2,rk55_system_method,1.0,0.001,13,6.746770253403257,3.171557903289795
235,cnn_hole_fill_2,rk55_system_method,1.25,0.001,13,6.695542443735147,3.434640645980835
236,cnn_hole_fill_2,rk55_system_method,1.5,0.001,14,7.2983457524711906,3.793020248413086
237,cnn_hole_fill_2,rk55_system_method,1.75,0.001,12,7.433638905843146,2.2760262489318848
238,cnn_hole_fill_2,rk55_system_method,2.0,0.001,13,6.822153014261374,3.2169909477233887
239,cnn_hole_fill_2,rk55_system_method,2.25,0.001,14,7.383761407272926,3.5968472957611084
240,cnn_hole_fill_2,rk55_system_method,0.1,0.0005,16,6.859547637122523,3.766811609268189
241,cnn_hole_fill_2,rk55_system_method,0.25,0.0005,14,7.5295002525345405,2.9028220176696777
242,cnn_hole_fill_2,rk55_system_method,0.5,0.0005,14,6.549813492064139,3.3832952976226807
243,cnn_hole_fill_2,rk55_system_method,0.75,0.0005,14,7.209122738854553,3.422236680984497
244,cnn_hole_fill_2,rk55_system_method,1.0,0.0005,14,6.625162579995317,3.30531907081604
245,cnn_hole_fill_2,rk55_system_method,1.25,0.0005,15,7.446616592338976,3.644342422485352
246,cnn_hole_fill_2,rk55_system_method,1.5,0.0005,16,7.459211844000064,3.924669027328491
247,cnn_hole_fill_2,rk55_system_method,1.75,0.0005,15,7.380108206317256,3.3628501892089844
248,cnn_hole_fill_2,rk55_system_method,2.0,0.0005,14,7.378741368214912,3.2115068435668945
249,cnn_hole_fill_2,rk55_system_method,2.25,0.0005,14,6.835323546817352,3.1623713970184326
250,cnn_hole_fill_2,rk55_system_method,0.1,0.0001,20,6.594975990115176,5.455895900726318
251,cnn_hole_fill_2,rk55_system_method,0.25,0.0001,19,6.601209906466931,4.532646179199219
252,cnn_hole_fill_2,rk55_system_method,0.5,0.0001,19,7.137810362485155,5.065837860107422
253,cnn_hole_fill_2,rk55_system_method,0.75,0.0001,19,6.571174622198282,4.4718170166015625
254,cnn_hole_fill_2,rk55_system_method,1.0,0.0001,19,6.651653303903673,5.447958946228027
255,cnn_hole_fill_2,rk55_system_method,1.25,0.0001,19,6.607728470878721,4.697049140930176
256,cnn_hole_fill_2,rk55_system_method,1.5,0.0001,21,7.345292373351292,5.407448530197144
257,cnn_hole_fill_2,rk55_system_method,1.75,0.0001,20,6.565318978273656,5.933488130569458
258,cnn_hole_fill_2,rk55_system_method,2.0,0.0001,19,7.123626050785468,4.773786783218384
259,cnn_hole_fill_2,rk55_system_method,2.25,0.0001,21,7.178990773047104,5.64371657371521
260,cnn_hole_fill_2,rk55_system_method,0.1,5e-05,24,7.321742090332895,6.439250946044922
261,cnn_hole_fill_2,rk55_system_method,0.25,5e-05,22,6.761487664545189,5.363499879837036
262,cnn_hole_fill_2,rk55_system_method,0.5,5e-05,24,6.524270584692807,7.621490240097046
263,cnn_hole_fill_2,rk55_system_method,0.75,5e-05,23,6.558618907752559,6.357035636901856
264,cnn_hole_fill_2,rk55_system_method,1.0,5e-05,23,6.991260539584719,7.055982351303101
265,cnn_hole_fill_2,rk55_system_method,1.25,5e-05,22,6.783763087473969,5.593828678131104
